ROOT Styles Loaded from rootlogon.
Beginning new ROOT session.


Processing ALLDrawDist.C...
18.55   18.65
1.1361   756238
19.1685  4.00481e+07   4.28113e+07
19.2004  2.69226e+07   2.69008e+07
19.1646  3.47357e+07   3.74423e+07
19.2149  3.91158e+07   3.79015e+07
19.2252  4.79168e+07   4.54262e+07
19.2493  3.49062e+07   3.14431e+07
19.1676  2.22526e+07   2.38352e+07
19.1935  3.50801e+07   3.55697e+07

19.2  28
3.32149e+07  3.31566e+07
8.94012e+06  8.00195e+06
19.25   19.35
1.03818   3.49697e+06
19.2707  2.67493e+07   2.84618e+07
19.2557  4.31609e+07   4.74092e+07
19.2877  4.43904e+07   4.55653e+07
19.2782  5.41528e+07   5.67121e+07
19.2644  3.11343e+07   3.35755e+07
19.2912  3.63228e+07   3.70037e+07
19.2523  7.62296e+07   8.43444e+07
19.2942  2.94307e+07   2.97968e+07
19.3225  3.75174e+07   3.57705e+07
19.2545  3.75034e+07   4.13027e+07
19.2541  4.08259e+07   4.50017e+07
19.3316  5.61324e+07   5.24973e+07
19.2534  5.03722e+07   5.56094e+07
19.3157  5.50033e+07   5.32017e+07
19.2772  4.81325e+07   5.05153e+07
19.3044  4.39095e+07   4.34983e+07

19.3  16
4.44355e+07  4.62666e+07
1.19745e+07  1.30678e+07
